年份,科目,地区,高考模式,改革起始年,卷别性质,范围,卷型,状态,来源文件,建议Repo路径,文件数
2008,物理,北京,老高考,2020,地方/区域卷,local,北京卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考物理真题\版本2：物理（按省份分类）2008-2024\2008-2024·（北京）物理高考真题\2008年高考物理试卷（北京）（空白卷）.pdf,papers/2008/物理/北京/北京卷/2008_物理_北京_北京卷_原卷.pdf,2
2008,物理,天津,老高考,2020,地方/区域卷,local,天津卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考物理真题\版本2：物理（按省份分类）2008-2024\2008-2023·（天津）物理高考真题\2008年高考物理真题（天津）（空白卷）.pdf,papers/2008/物理/天津/天津卷/2008_物理_天津_天津卷_原卷.pdf,2
2008,物理,河北,老高考,2021,全国卷,common,河北卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考物理真题\版本2：物理（按省份分类）2008-2024\2008-2024·（河北）物理高考真题\2008年高考物理试卷（全国卷Ⅰ）（空白卷）.pdf,papers/2008/物理/全国/河北卷/2008_物理_河北_河北卷_原卷.pdf,2
2008,物理,山西,老高考,2025,全国卷,common,山西卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考物理真题\版本2：物理（按省份分类）2008-2024\2008-2024·（山西）物理高考真题\2008年高考物理试卷（全国卷Ⅰ）（空白卷）.pdf,papers/2008/物理/全国/山西卷/2008_物理_山西_山西卷_原卷.pdf,2
2008,物理,内蒙古,老高考,2025,全国卷,common,内蒙古卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考物理真题\版本2：物理（按省份分类）2008-2024\2008-2024·（内蒙古）物理高考真题\2008年高考物理试卷（全国卷Ⅱ）（空白卷）.pdf,papers/2008/物理/全国/内蒙古卷/2008_物理_内蒙古_内蒙古卷_原卷.pdf,2
2008,物理,辽宁,老高考,2021,,missing,,missing,,,0
2008,物理,吉林,老高考,2024,全国卷,common,吉林卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考物理真题\版本2：物理（按省份分类）2008-2024\2008-2024·（吉林）物理高考真题\2008年高考物理试卷（全国卷Ⅱ）（空白卷）.pdf,papers/2008/物理/全国/吉林卷/2008_物理_吉林_吉林卷_原卷.pdf,2
2008,物理,黑龙江,老高考,2024,全国卷,common,黑龙江卷,present_common,H:\New folder\【新·PDF版】2008-2024·高考物理真题\版本2：物理（按省份分类）2008-2024\2008-2024·（黑龙江）物理高考真题\2008年高考物理试卷（全国卷Ⅱ）（空白卷）.pdf,papers/2008/物理/全国/黑龙江卷/2008_物理_黑龙江_黑龙江卷_原卷.pdf,2
2008,物理,上海,老高考,2017,地方/区域卷,local,上海卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考物理真题\版本2：物理（按省份分类）2008-2024\2008-2024·（上海）物理高考真题\2008年高考物理试卷（上海）（空白卷）.pdf,papers/2008/物理/上海/上海卷/2008_物理_上海_上海卷_原卷.pdf,2
2008,物理,江苏,老高考,2021,地方/区域卷,local,江苏卷,present_local,H:\New folder\【新·PDF版】2008-2024·高考物理真题\版本2：物理（按省份分类）2008-2024\2008-2024·（江苏）物理高考真题\2008年高考物理试卷（江苏）（空白卷）.pdf,papers/2008/物理/江苏/江苏卷/2008_物理_江苏_江苏卷_原卷.pdf,2
